id,origin,creation_timestamp,modified_timestamp,EXIF
30,"/home/ahmed_الصور/Music/audiobook_chapter.m4a","2024-01-30T14:15:00Z","2024-03-10T10:30:00Z","{""duration"": 7200, ""bitrate"": ""128kbps""}"
31,"https://pixabay.com/photos/beach-sand-ocean-waves-50832146783/?token=pixabay987ghi321abc654def&download","2024-08-30T09:40:30Z",NULL,"{""keywords"": [""beach"", ""ocean"", ""waves""]}"
32,"/home/ahmed_الصور/Downloads/media/ocean_waves.jpg","2024-05-15T07:20:15Z","2024-06-20T14:30:00Z","{""camera"": ""Sony RX100 VII"", ""aperture"": 1.8}"
33,"https://www.gettyimages.com/detail/photo/beach-sunset-royalty-free-image/1321472347?token=getty123stu456mno789pqr&size=large","2024-09-12T17:30:00Z",NULL,"{""license"": ""Royalty-Free"", ""keywords"": [""beach"", ""sunset"", ""relax""]}"
34,"/home/ahmed_الصور/Downloads/media/urban_architecture.png","2024-06-08T16:45:10Z","2024-07-12T11:20:00Z",NULL
35,"https://www.flickr.com/photos/5566778899@N04/50832146784/in/album-72157721001234570/sizes/k/token=jkl012mno345pqr678abc123def456","2024-10-08T14:10:20Z",NULL,"{""camera"": ""Canon 5D Mark IV"", ""location"": ""Tokyo""}"
36,"/home/ahmed_الصور/Videos/workout_routine.mp4","2024-07-20T09:15:00Z","2024-08-25T16:30:00Z","{""duration"": 2400, ""resolution"": ""1280x720""}"
37,"https://www.instagram.com/p/CZY7_1JqLxW/media?size=xl&username=art_daily&filter=moon&orientation=landscape&id=7891234560&token=987zyx654wvutsr321qpon","2024-11-15T13:40:45Z",NULL,"{""device"": ""Samsung Galaxy S22"", ""edits"": {""filter"": ""moon""}}"
38,"/home/ahmed_الصور/Videos/travel_vlog.mov","2024-06-12T10:30:00Z","2024-08-18T15:45:00Z","{""duration"": 3600, ""fps"": 24}"
39,"https://www.pexels.com/photo/abstract-painting-colors-50832146784/?token=pexels123abc456def789ghi&dl=abstract-painting-50832146784.jpg","2024-09-22T10:50:30Z",NULL,"{""keywords"": [""abstract"", ""painting"", ""colors""], ""color_profile"": ""AdobeRGB""}"
40,"/home/ahmed_الصور/Downloads/virusfile","2024-07-10T20:15:30Z","2024-07-10T20:15:30Z",NULL
41,"https://www.pinterest.com/pin/5083214678423456789/?token=pinterest789xyz123abc456def&size=original&format=tiff&quality=max","2024-11-05T16:20:00Z",NULL,NULL
42,"/home/ahmed_الصور/Music/meditation_session.mp3","2024-04-25T08:00:00Z","2024-06-01T14:15:00Z","{""duration"": 1800, ""bitrate"": ""320kbps""}"
43,"https://unsplash.com/photos/GHIjkl789mno123pqr456stu/token=unsplash456mno789pqr123stu&download&w=2560","2024-10-25T12:30:45Z",NULL,"{""camera"": ""Nikon Z7 II"", ""lens"": ""50mm f/1.8""}"
44,"/home/ahmed_الصور/Downloads/media/colorful_gradient.webp","2024-05-28T13:20:15Z","2024-06-10T09:30:00Z","{""software"": ""Affinity Designer"", ""layers"": 8}"
45,"https://pixabay.com/photos/architecture-building-modern-50832146784/?token=pixabay321abc654def987ghi&download","2024-08-22T15:10:20Z",NULL,"{""keywords"": [""architecture"", ""modern"", ""building""]}"
46,"/home/ahmed_الصور/Videos/concert_performance.mp4","2024-07-05T19:30:00Z","2024-08-12T12:45:00Z","{""duration"": 5400, ""resolution"": ""3840x2160""}"
47,"https://www.gettyimages.com/detail/photo/modern-architecture-royalty-free-image/1321472348?token=getty789mno123pqr456stu&size=xl","2024-09-18T14:40:00Z",NULL,"{""license"": ""Royalty-Free"", ""keywords"": [""architecture"", ""modern"", ""design""]}"
48,"/home/ahmed_الصور/Videos/news_report.mov","2024-06-30T17:00:00Z","2024-08-05T11:15:00Z","{""duration"": 1200, ""fps"": 30}"
49,"https://www.flickr.com/photos/6677889900@N05/50832146785/in/album-72157721001234571/sizes/h/token=mno345pqr678abc123def456ghi789","2024-10-12T11:25:30Z",NULL,"{""camera"": ""Fujifilm GFX 100"", ""location"": ""Dubai""}"
50,"/home/ahmed_الصور/Music/ambient_sounds.wav","2024-03-15T12:00:00Z","2024-04-20T16:30:00Z","{""bit_depth"": 16, ""sample_rate"": 44100}"
51,"https://www.instagram.com/p/CZY7_1JqLxV/media?size=l&username=fitness_guru&filter=perpetua&orientation=portrait&id=3216549870&token=654wvutsr321qpon987zyx","2024-11-20T10:10:45Z",NULL,"{""device"": ""iPhone 12"", ""edits"": {""filter"": ""perpetua""}}"
52,"/home/ahmed_الصور/Documents/health_tips.pdf","2024-02-10T09:30:00Z","2024-03-15T14:45:00Z",NULL
53,"https://www.pexels.com/photo/gym-workout-equipment-50832146785/?token=pexels456def789ghi123abc&dl=gym-workout-50832146785.jpg","2024-09-10T09:20:10Z",NULL,"{""keywords"": [""gym"", ""workout"", ""fitness""], ""color_profile"": ""sRGB""}"
54,"/home/ahmed_الصور/Pictures/wildlife_photography.tiff","2024-05-05T08:45:15Z","2024-06-28T15:00:00Z","{""camera"": ""Sony A9 II"", ""aperture"": 4.0}"
55,"https://www.pinterest.com/pin/5083214678523456789/?token=pinterest456xyz789abc123def&size=large&format=jpg&quality=high","2024-11-10T14:30:00Z",NULL,NULL
56,"/home/ahmed_الصور/Videos/educational_content.mkv","2024-06-22T13:15:00Z","2024-08-01T10:30:00Z","{""duration"": 3000, ""codec"": ""VP9""}"
57,"https://unsplash.com/photos/JKLmno123pqr456stu789ghi/token=unsplash123pqr456stu789mno&download&w=1920","2024-10-20T16:10:45Z",NULL,"{""camera"": ""Canon EOS R6"", ""lens"": ""24-105mm f/4""}"
58,"/home/ahmed_الصور/Downloads/web/portfolio_project.html","2024-04-10T11:00:00Z","2024-05-25T14:15:00Z",NULL
59,"https://pixabay.com/photos/technology-gadgets-future-50832146785/?token=pixabay654def987ghi321abc&download","2024-08-25T12:50:30Z",NULL,"{""keywords"": [""technology"", ""gadgets"", ""future""]}"
60,"/home/ahmed_الصور/Pictures/illustration.svg","2024-03-20T10:30:00Z","2024-04-05T16:45:00Z","{""software"": ""Inkscape"", ""layers"": 3}"
61,"https://www.gettyimages.com/detail/photo/future-tech-gadgets-royalty-free-image/1321472349?token=getty456pqr789stu123mno&size=comp","2024-09-22T13:55:00Z",NULL,"{""license"": ""Rights-Managed"", ""usage"": ""Commercial""}"
62,"/home/ahmed_الصور/Pictures/loading_animation.gif","2024-02-25T09:15:00Z","2024-03-10T12:30:00Z","{""frames"": 30, ""duration"": 1.5}"
63,"https://www.flickr.com/photos/7788990011@N06/50832146786/in/album-72157721001234572/sizes/l/token=pqr678abc123def456ghi789jkl012","2024-10-05T10:40:20Z",NULL,"{""camera"": ""Panasonic Lumix S1"", ""location"": ""Paris""}"
64,"/home/ahmed_الصور/Music/language_lesson.m4a","2024-01-20T15:00:00Z","2024-02-28T11:15:00Z","{""duration"": 3600, ""bitrate"": ""256kbps""}"
65,"https://www.instagram.com/p/CZY7_1JqLxU/media?size=m&username=wildlife_photography&filter=aden&orientation=landscape&id=6549873210&token=321qpon987zyx654wvutsr","2024-11-12T12:20:45Z",NULL,"{""device"": ""Google Pixel 5"", ""edits"": {""filter"": ""aden""}}"
66,"/home/ahmed_الصور/Downloads/media/mountain_peak.jpg","2024-05-18T07:30:15Z","2024-06-22T14:45:00Z","{""camera"": ""Nikon D750"", ""aperture"": 2.8}"
67,"https://www.pexels.com/photo/lion-safari-africa-50832146786/?token=pexels789ghi123abc456def&dl=lion-safari-50832146786.jpg","2024-09-18T11:30:10Z",NULL,"{""keywords"": [""lion"", ""safari"", ""Africa""], ""color_profile"": ""AdobeRGB""}"
68,"/home/ahmed_الصور/Downloads/media/beach_sunset.png","2024-06-10T16:00:10Z","2024-07-15T11:30:00Z",NULL
69,"https://unsplash.com/photos/MNOpqr456stu789ghi123jkl/token=unsplash789stu123pqr456mno&download&w=1280","2024-10-15T14:50:45Z",NULL,NULL
70,"/home/ahmed_الصور/Videos/lecture_recording.avi","2024-07-12T10:00:00Z","2024-08-20T15:15:00Z","{""duration"": 7200, ""codec"": ""XviD""}"
71,"https://pixabay.com/photos/space-stars-galaxy-universe-50832146786/?token=pixabay987ghi321abc654def&download","2024-08-20T16:20:30Z",NULL,"{""keywords"": [""space"", ""stars"", ""galaxy""]}"
72,"/home/ahmed_الصور/Music/guided_meditation.mp3","2024-04-18T08:15:00Z","2024-05-22T14:30:00Z","{""duration"": 2700, ""bitrate"": ""192kbps""}"
73,"https://www.gettyimages.com/detail/photo/galaxy-space-royalty-free-image/1321472350?token=getty123stu456mno789pqr&size=medium","2024-09-10T12:40:00Z",NULL,"{""license"": ""Royalty-Free"", ""keywords"": [""galaxy"", ""space"", ""universe""]}"
74,"/home/ahmed_الصور/Downloads/media/retro_filter.webp","2024-05-25T14:20:15Z","2024-06-30T09:45:00Z","{""software"": ""GIMP"", ""layers"": 6}"
75,"https://www.flickr.com/photos/8899001122@N07/50832146787/in/album-72157721001234573/sizes/o/token=abc123def456ghi789jkl012mno345","2024-10-02T13:10:20Z",NULL,"{""camera"": ""Olympus OM-D E-M1 Mark III"", ""location"": ""Iceland""}"
76,"/home/ahmed_الصور/Videos/gaming_stream.mp4","2024-07-08T18:30:00Z","2024-08-15T12:45:00Z","{""duration"": 10800, ""resolution"": ""2560x1440""}"
77,"https://www.instagram.com/p/CZY7_1JqLxT/media?size=s&username=street_art&filter=rise&orientation=square&id=9873216540&token=987zyx654wvutsr321qpon","2024-11-08T15:25:45Z",NULL,"{""device"": ""Samsung Galaxy S21"", ""edits"": {""filter"": ""rise""}}"
78,"/home/ahmed_الصور/Videos/product_demo.mov","2024-06-28T11:00:00Z","2024-08-03T16:15:00Z","{""duration"": 1800, ""fps"": 60}"
79,"https://www.pexels.com/photo/colorful-graffiti-wall-50832146787/?token=pexels123abc456def789ghi&dl=graffiti-wall-50832146787.jpg","2024-09-08T10:40:10Z",NULL,"{""keywords"": [""graffiti"", ""wall"", ""art""], ""color_profile"": ""sRGB""}"
80,"/home/ahmed_الصور/Music/nature_sounds.wav","2024-03-12T11:30:00Z","2024-04-10T15:45:00Z","{""bit_depth"": 24, ""sample_rate"": 96000}"
81,"https://unsplash.com/photos/PQRstu789ghi123jkl456mno/token=unsplash456mno789pqr123stu&download&w=1080","2024-10-08T12:50:45Z",NULL,NULL
82,"/home/ahmed_الصور/Documents/research_paper.pdf","2024-02-05T10:00:00Z","2024-03-22T16:30:00Z",NULL
83,"https://pixabay.com/photos/vintage-car-classic-automobile-50832146787/?token=pixabay321abc654def987ghi&download","2024-08-15T14:30:20Z",NULL,"{""keywords"": [""vintage"", ""car"", ""classic""]}"
84,"/home/ahmed_الصور/Pictures/vintage_photo.tiff","2024-05-08T09:45:15Z","2024-06-12T15:00:00Z","{""camera"": ""Leica M10"", ""aperture"": 1.4}"
85,"https://www.gettyimages.com/detail/photo/vintage-car-classic-royalty-free-image/1321472351?token=getty789mno123pqr456stu&size=large","2024-09-05T16:10:00Z",NULL,"{""license"": ""Royalty-Free"", ""keywords"": [""vintage"", ""car"", ""classic""]}"
86,"/home/ahmed_الصور/Videos/short_documentary.mkv","2024-06-25T12:15:00Z","2024-08-02T10:30:00Z","{""duration"": 4500, ""codec"": ""H.265""}"
87,"https://www.flickr.com/photos/9900112233@N08/50832146788/in/album-72157721001234574/sizes/m/token=def456ghi789jkl012mno345pqr678","2024-10-18T11:55:20Z",NULL,"{""camera"": ""Pentax K-1 Mark II"", ""location"": ""Italy""}"
88,"/home/ahmed_الصور/Downloads/web/portfolio_website.html","2024-04-15T13:30:00Z","2024-05-20T10:45:00Z",NULL
89,"https://www.instagram.com/p/CZY7_1JqLxS/media?size=xl&username=fashion_blogger&filter=hudson&orientation=portrait&id=3219876540&token=654wvutsr321qpon987zyx","2024-11-18T09:30:45Z",NULL,"{""device"": ""iPhone 11"", ""edits"": {""filter"": ""hudson""}}"
90,"/home/ahmed_الصور/Pictures/brand_logo.svg","2024-03-28T12:00:00Z","2024-04-12T16:15:00Z","{""software"": ""CorelDRAW"", ""layers"": 2}"
91,"https://www.pexels.com/photo/elegant-dress-fashion-50832146788/?token=pexels456def789ghi123abc&dl=elegant-dress-50832146788.jpg","2024-09-12T09:50:10Z",NULL,"{""keywords"": [""elegant"", ""dress"", ""fashion""], ""color_profile"": ""AdobeRGB""}"
92,"/home/ahmed_الصور/Pictures/loading_icon.gif","2024-02-22T10:15:00Z","2024-03-08T14:30:00Z","{""frames"": 18, ""duration"": 1}"
93,"https://pixabay.com/photos/coffee-mug-breakfast-morning-50832146788/?token=pixabay654def987ghi321abc&download","2024-08-10T15:40:30Z",NULL,"{""keywords"": [""coffee"", ""mug"", ""breakfast""]}"
94,"/home/ahmed_الصور/Music/podcast_intro.m4a","2024-01-28T16:00:00Z","2024-02-15T11:15:00Z","{""duration"": 120, ""bitrate"": ""256kbps""}"
95,"https://www.gettyimages.com/detail/photo/morning-coffee-royalty-free-image/1321472352?token=getty456pqr789stu123mno&size=xl","2024-09-28T10:20:00Z",NULL,"{""license"": ""Royalty-Free"", ""keywords"": [""coffee"", ""morning"", ""breakfast""]}"
96,"/home/ahmed_الصور/Downloads/media/desert_dunes.jpg","2024-05-20T08:00:15Z","2024-06-25T14:15:00Z","{""camera"": ""Canon EOS 6D Mark II"", ""aperture"": 8.0}"
97,"https://www.flickr.com/photos/1122334455@N09/50832146789/in/album-72157721001234575/sizes/k/token=ghi789jkl012mno345pqr678abc123","2024-10-22T14:05:20Z",NULL,"{""camera"": ""Sony A6600"", ""location"": ""Morocco""}"
98,"/home/ahmed_الصور/Videos/dance_performance.mp4","2024-07-15T17:30:00Z","2024-08-22T12:45:00Z","{""duration"": 3600, ""resolution"": ""1920x1080""}"
99,"https://www.instagram.com/p/CZY7_1JqLxR/media?size=l&username=bookworm&filter=earlybird&orientation=landscape&id=6543219870&token=321qpon987zyx654wvutsr","2024-11-25T11:10:45Z",NULL,"{""device"": ""Google Pixel 4"", ""edits"": {""filter"": ""earlybird""}}"
100,"/home/ahmed_الصور/Downloads/media/rainy_street.png","2024-06-12T15:30:10Z","2024-07-18T10:45:00Z",NULL
