id,picture_id,object,bounding_box_start_xy,bounding_box_end_xy
113,99,tree,"100,50","300,300"
114,100,building,"50,80","500,400"
115,1,road,"0,350","600,480"
116,2,car,"300,300","500,420"
117,3,flower,"150,380","250,450"
118,4,bench,"100,350","300,420"
119,5,cloud,"50,30","200,120"
120,6,window,"200,150","300,300"
121,7,car,"400,300","550,400"
122,8,bicycle,"100,180","300,400"
123,9,boat,"200,150","500,300"
124,10,flower,"250,250","350,350"
125,11,chair,"150,200","300,400"
126,12,phone,"350,220","450,320"
127,13,cup,"300,280","380,360"
128,14,backpack,"50,100","200,300"
129,15,hat,"280,60","380,140"
130,16,guitar,"80,120","480,380"
131,17,piano,"50,100","550,350"
132,18,apple,"200,180","280,260"
133,19,banana,"150,220","250,300"
134,20,pizza,"100,120","450,320"
135,21,coffee_cup,"250,200","350,300"
136,22,bench,"80,300","350,450"
137,23,streetlight,"400,80","480,400"
138,24,traffic_light,"280,60","360,140"
139,25,stop_sign,"180,120","280,220"
140,26,bus,"100,100","500,320"
141,27,truck,"50,180","480,400"
142,28,motorcycle,"120,220","350,400"
143,29,airplane,"80,100","520,250"
144,30,train,"30,150","550,320"
145,31,horse,"150,120","400,400"
146,32,bird,"300,80","400,180"
147,33,fish,"150,200","300,320"
148,34,mountain,"0,60","600,280"
149,35,river,"0,320","600,480"
150,36,beach,"0,280","600,480"
151,37,cloud,"120,40","300,160"
152,38,sun,"350,60","450,160"
153,39,moon,"200,100","300,200"
154,40,star,"100,40","130,70"
155,41,keyboard,"120,200","500,320"
156,42,mouse,"350,280","450,360"
157,43,monitor,"100,80","480,300"
158,44,headphones,"180,120","420,280"
159,45,watch,"220,220","300,280"
160,46,ring,"280,260","340,320"
161,47,necklace,"180,200","350,260"
162,48,bricks,"80,320","280,450"
163,49,wood,"30,220","200,420"
164,50,glass,"320,180","450,320"
165,51,metal,"150,300","350,420"
166,52,plastic,"50,350","200,450"
167,53,ball,"220,220","300,300"
168,54,soccer_ball,"180,260","280,340"
169,55,basketball,"120,200","220,300"
170,56,tennis_racket,"80,150","280,320"
171,57,skateboard,"50,320","280,400"
172,58,umbrella,"180,120","350,380"
173,59,jacket,"120,100","400,380"
174,60,shirt,"150,150","380,350"
175,61,pants,"80,280","350,480"
176,62,shoes,"180,400","350,480"
177,63,hat,"220,60","320,160"
178,64,gloves,"100,300","220,400"
179,65,clock,"180,180","280,280"
180,66,lampshade,"280,100","400,250"
181,67,bed,"30,120","500,380"
182,68,sofa,"50,220","500,420"
183,69,door
